"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGIKEY-PURCHASE-URL";"MF";"MOUSER-PURCHASE-URL";"MP";"MPN";"PACKAGE";"PRICE";"PROD_ID";"PURCHASE-URL";"SF_SKU";"VALUE";
"BT2";"";"BATTERY-12MM_SMD";"BATTCON_12MM";"Battery - Single Cell";"";"";"";"";"";"";"";"";"";"";"BATT-08044";"";"PRT-10592";"";
"C1";"100nF";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"302010138";"";"";"";"";"";"";"";"CC0603KRX7R9BB104";"";"";"";"";"";"100nf";
"C2";"1.5pF";"CERAMIC-10PF-50V-5%-NPO(0603)";"C0603";"302010097";"";"";"";"";"";"";"";"CC0603JRNPO9BN100";"";"";"";"";"";"10pf";
"C3";"NC";"12PF-0603-50V-5%";"0603";"12pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-09137";"";"";"12pF";
"C4";"NC";"12PF-0603-50V-5%";"0603";"12pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-09137";"";"";"12pF";
"C5";"20pF";"CERAMIC-22PF-50V-5%-NPO(0603)";"C0603";"302010143";"";"";"";"";"";"";"";"CC0603JRNPO9BN220";"";"";"";"";"";"22pf";
"C6";"20pF";"CERAMIC-22PF-50V-5%-NPO(0603)";"C0603";"302010143";"";"";"";"";"";"";"";"CC0603JRNPO9BN220";"";"";"";"";"";"22pf";
"C7";"10uF";"CERAMIC-10UF-10V-10%-X5R(0603)";"C0603";"302010103";"";"";"";"";"";"";"";"CC0603KRX5R6BB106";"";"";"";"";"";"10uf";
"C8";"100nF";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"302010138";"";"";"";"";"";"";"";"CC0603KRX7R9BB104";"";"";"";"";"";"100nf";
"C9";"100uF";"TANTALUM-SMD-47UF-6.3V(AVX-A)";"AVX-A";"302020005";"";"";"";"";"";"";"";"TAJA476*006#NJ";"";"";"";"";"";"47uf";
"C10";"100uF";"TANTALUM-SMD-47UF-6.3V(AVX-A)";"AVX-A";"302020005";"";"";"";"";"";"";"";"TAJA476*006#NJ";"";"";"";"";"";"47uf";
"C11";"100uF";"TANTALUM-SMD-47UF-6.3V(AVX-A)";"AVX-A";"302020005";"";"";"";"";"";"";"";"TAJA476*006#NJ";"";"";"";"";"";"47uf";
"C12";"10uF";"CERAMIC-10UF-6.3V-20%-X5R(0603)";"C0603";"302010286";"";"";"";"";"";"";"";"CC0603MRX5R5BB106";"";"";"";"";"";"10UF 6.3V";
"C13";"10nF";"CERAMIC-10NF-50V-10%-X7R(0603)";"C0603";"302010140";"";"";"";"";"";"";"";"CC0603KRX7R9BB103";"";"";"";"";"";"10nf";
"C14";"2.2uF";"CERAMIC-2.2UF-10V-10%-X7R(0603)";"C0603";"302010054";"";"";"";"";"";"";"";"CC0603KRX7R6BB225";"";"";"";"";"";"2.2uf";
"C15";"47uF";"TANTALUM-SMD-47UF-6.3V(AVX-A)";"AVX-A";"302020005";"";"";"";"";"";"";"";"TAJA476*006#NJ";"";"";"";"";"";"47uf";
"C16";"47uF";"TANTALUM-SMD-47UF-6.3V(AVX-A)";"AVX-A";"302020005";"";"";"";"";"";"";"";"TAJA476*006#NJ";"";"";"";"";"";"47uf";
"CELL1";"KXOB25";"KXOB25";"KXOB25";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"CELL2";"KXOB25";"KXOB25";"KXOB25";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"CELL3";"KXOB25";"KXOB25";"KXOB25";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"CELL4";"KXOB25";"KXOB25";"KXOB25";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"E1";"YC0010AA";"YC0010AA";"XCVR_YC0010AA";"2400 ~ 2500MHz, Wi-Fi（BT）, 5.2*2.0*1.2mm,ceramic SMD Antenna  Check availability";"In Stock";" 2400 ~ 2500MHz, Wi-Fi（BT）, 5.2*2.0*1.2mm,ceramic SMD Antenna ";"";"";"Quectel";"";"YC0010AA";"";"None";"None";"";"https://pricing.snapeda.com/search/part/YC0010AA/?ref=eda";"";"";
"J1";"";"6_PIN_SERIAL_TARGETSMD";"1X06-SMD_RA_MALE";"6-pin header connection for use with the "FTDI BASIC" pinout - TARGET SIDE.";"";"";"";"";"";"";"";"";"";"";"CONN-08971";"";"";"";
"J2";"TSM-102-02-S-SH";"TSM-102-02-S-SH";"SAMTEC_TSM-102-02-S-SH";"Check availability";"In Stock";" TSM - Samtec 2.54mm Single Row Horizontal Surface Mount Header 8.13mm Post Height (02) - Fast Stock ";"";"";"Samtec";"";"TSM-102-02-S-SH";"";"None";"None";"";"https://pricing.snapeda.com/search/part/TSM-102-02-S-SH/?ref=eda";"";"";
"L1";"4.3nH";"INDUCTOR-0603-33NH";"0603";"Inductors";"";"";"";"";"";"";"";"";"";"";"NDUC-07874";"";"";"33nH/±5%/500mA";
"L2";"LQH3NPN100MMEL";"LQH3NPN100MMEL";"IND_LQH3NPN100MMEL";"Fixed Inductors";"";" 10µH Shielded Wirewound Inductor 800mA 228mOhm Max 1212 (3030 Metric) ";"490-15945-1-ND";"https://snapeda.com/shop?store=DigiKey&id=4547508";"Murata";"https://snapeda.com/shop?store=Mouser&id=4547508";"LQH3NPN100MMEL";"";"1212 Murata";"";"";"";"";"";
"R1";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"10k";
"R2";"2.0M";"2MOHMS-0603-1/10W-1%";"0603";"2MΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-10054";"";"";"2.0M";
"R3";"1M";"1MOHM-0603-1/4W-5%";"0603";"1MΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-07868";"";"";"1M";
"S1";"MOMENTARY-SWITCH-SPST-SMD-4.6X2.8MM";"MOMENTARY-SWITCH-SPST-SMD-4.6X2.8MM";"TACTILE_SWITCH_SMD_4.6X2.8MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"";"";"";"";"";"SWCH-13065";"";"";"";
"U1";"IN100";"IN100";"IN100";"";"";"";"";"";"";"";"";"";"";"";"IC-17260";"";"";"";
"U2";"LTC3106EFE#PBF";"LTC3106EFE#PBF";"SOP65P640X120-21N";"LTC3106 - 300mA Low Voltage Buck-Boost Converter with PowerPath and 1.6μA Quiescent Current";"";" Conv DC-DC -0.3V to 6V Non-Inv/Inv/Step Up/Step Down Single-Out 1.8V/2.2V/3.3V/5V 0.3A 20-Pin TSSOP ";"";"";"Analog Devices";"https://snapeda.com/shop?store=Mouser&id=4332360";"LTC3106EFE#PBF";"";"TSSOP W/ EP-20 Analog Devices";"";"";"";"";"";
"Y1";"CX3225SB26000D0FLJCC";"ECS-480-8-33B-CWY-TR3";"XTAL_ECS-480-8-33B-CWY-TR3";"Check availability";"In Stock";" Crystal - 48MHz ±10ppm - 10 pF - ±15 ppm - -30 to +85°C 3225 Low aging ";"";"";"Kyocera";"";"CX3225SB26000D0FLJCC";"";"None";"None";"";"https://pricing.snapeda.com/search/part/ECS-480-8-33B-CWY-TR3/?ref=eda";"";"";
"Y2";"ECS-.327-12.5-16-TR";"ECS-.327-12.5-16-TR";"XTAL_ECS-.327-12.5-16-TR";"SMD Tuning Fork Crystal Check availability";"In Stock";" 32.768 kHz ±20ppm Crystal 12.5pF 90 kOhms 2-SMD, No Lead ";"";"";"ECS Inc.";"";"ECS-.327-12.5-16-TR";"";"SMD-2 ECS International";"None";"";"https://pricing.snapeda.com/search/part/ECS-.327-12.5-16-TR/?ref=eda";"";"";
